order_id,customer_id,restaurant_name,cuisine_type,order_date,order_amount,discount_percent,final_amount,delivery_time_mins,order_status,payment_method,order_rating,is_reorder,promo_code_used,delivery_partner_id,city,notes
ORD001079,CUST00481,Burger Barn!!,Mexican,1699574400,1853,196.02022086423864,2672,66,Cancelled,UPI,4.8,false,FIRST50,N/A,Pune,
ORD001307,CUST00072, Tandoor Tales,continental,N/A,1146,N/A,2029,20,CANCELLED,Card,3.8,True,save10,,bangalore,extra SPICY
ORD000338,CUST00409,Sushi Spot,Sushi ,04/02/2023,622,21.1,2111,380,N/A,upi,4.7,false,SAVE 10,N/A,Ahemadabad,Less oil
ORD001139,CUST00226,Pizza Palace,continental,1692316800,2155,9.5,604,20,cancelled,Wallet,1.5,1,SAVE10,DP8371,Ahmedabad,  
ORD001097,CUST00493,Dosa Delight,Mexican,"July 17, 2022",1922,25.3,270,80,Pending,COD,2.5,Y,save10,DP6488,Ahmedabad,No onion
ORD001083,CUST00019,Dosa Delight,PIZZA,2023-11-25,208,39.6,2408,35,Delivered,CARD,,False,SAVE 10,N/A,MUMBAI,Less oil
ORD000611,CUST00072,the biryani house,biryani,08-18-2022,2263,22.7,2905,45,cancelled,Wallet,,false,,N/A,DELHI,no Onion
ORD001060,CUST00311,Dosa Delight.,continental,1664496000,1471,34.0,482,17,Pending,upi,,yes,SAVE10,N/A,Delhi,extra SPICY
ORD000217,CUST00350,Curry Corner,Chineese,1646179200,1381,17.6,₹1335,53,pending,wallet,,Yes,save10,,mumbai,no Onion
ORD001065,CUST00450,Burger Barn!!,burger,N/A,-22,5.7,416,16,Delivered,upi,3.3,1,SAVE 10,,Bangalore,extra SPICY
ORD000282,CUST00452,The Biryani House,Sushi,"May 14, 2023",1901,30.5,2009,17,delivered,UPI ,2.9,true,FLAT20 ,N/A,Pune,Extra spicy
ORD000350,CUST00140,Burger Barn,Biryani,,2411,0.1,1544,90,DELIVERED,Card,6.06017893661557,0,FIRST50,,DELHI,  
ORD000904,CUST00018,PIZZA PALACE,Italain,N/A,N/A,8.1,441,20,cancelled,card,1.3,FALSE,,,  Pune ,N/A
ORD000593,CUST00310,Curry Corner,Pizza,,2816,3.1,468,58,CANCELLED,Cash,2.0,Y,SAVE 10,,Chennai,extra SPICY
ORD001325,CUST00320,The Biryani House,Biryani,2023-03-21,1447,23.1,541,64,Cncld,Wallet,3.6,0,save10,,Bangalore,  
ORD001157,CUST00580,Pizza Palace,Continental,09-02-2023,1386,30.9,380,-1,pending,Card,3.5,Yes,N/A,,Bangalore,no Onion
ORD000060,CUST00180,Spice  Garden,Thai,N/A,612,15.7,₹1537,30,DELIVERED,N/A,4.3,No,N/A,N/A,Ahemadabad,Extra spicy
ORD001012,CUST00229,PIZZA PALACE,biryani,"September 12, 2022",2339,24.7,2349,21,CANCELLED,UPI,4.8,true,,DP3789,chenai,Extra spicy
ORD000762,CUST00333,Spice  Garden,PIZZA,20/11/2023,1542,49.0,2351,46,Cncld,UPI,,false,save10,N/A,Delhi ,no Onion
ORD000346,CUST00331,the biryani house,Indian,12/07/2022,1890,45.4,,22,pending,cash,2.9,FALSE,,N/A,Ahemadabad,no Onion
ORD000793,CUST00526, Tandoor Tales,Itlaian,not provided,670,44.2,2711,90,CANCELLED,,1.3,Yes,,DP4058,chenai,
ORD000800,CUST00255,PIZZA PALACE,Pizza,"May 30, 2023",740,17.8,960,,N/A,cash,1.0,False,SAVE10,,DELHI,  
ORD000181,CUST00333,Pizza Palace,Italain,not provided,2680,N/A,₹1532,259,Cncld,Net Banking,2.6,0,SAVE 10,,Bangalroe,Extra spicy
ORD000357,CUST00392,Sushi Spot,Indian,"August 16, 2023",1111,21.7,1104,32,Cancelled,net banking,4.5,Y,N/A,,Ahmedabad,Extra spicy
ORD001433,CUST00072,Pizza Palace,mexcian,2023/04/07,2867,190.05911172652952,1483,,CANCELLED,Cash,1.6,no,,,Pune,Less oil
ORD000248,CUST00467,Curry Corner,continental,2022/10/23,2550,4.0,2003,60,,Cash,3.9,0,save10,,Mumbai,N/A
ORD000678,CUST00158,Dosa Delight.,Sushi ,N/A,2564,18.8,2161,35,,UPI ,4.4,Yes,N/A,N/A,Chennai,  
ORD000853,INVALID,Wok Express,Chineese,not provided,1735,30.3,1284,55,,UPI ,1.7,TRUE,SAVE 10,N/A,Ahemadabad,No onion
ORD000466,CUST00164,Burger Barn!!,Sushi,2023-02-18,2436,21.0,2330,32,Cncld,net banking,2.3,true,,DP2541,Kolkata,no Onion
ORD000486,CUST00478,Sushi Spot,CHINESE,not provided,2775,121.8897442498247,2952,43,pending,UPI ,4.2,False,save10,,Ahmedabad,Less oil
ORD000132,CUST00348,Noodle  Nook,Pizza,N/A,176,10.4,2972,16,Cncld,UPI,3.9,TRUE,SAVE 10,,Bangalore,  
ORD000759,CUST00516,Spice Garden,Pizza,,1159,12.2,799,63,pending,upi,4.9,1,SAVE10,DP5547,MUMBAI,
ORD000290,CUST00579,PIZZA PALACE,Indian,N/A,728,40.4,2908,79,,cash,1.6,1,,,Delhi,Less oil
ORD000069,CUST00176,Spice Garden,PIZZA,2023-09-24,912,18.1,2528,27,cancelled,net banking,4.1,No,SAVE 10,,Bangalroe,  
ORD001397,CUST00407,Wok Express,Thai ,,255,44.2,1048,76,CANCELLED,Cash,1.6,FALSE,SAVE 10,,Bangalroe,extra SPICY
ORD000006,CUST00514,PIZZA PALACE,CHINESE,not provided,2394,28.5,2391,54,pending,Card,2.4,1,,N/A,kolkata ,extra SPICY
ORD001001,CUST00459,Tandoor Tales,Pizza,not provided,2408,27.3,1510,35,delivered,N/A,2.8,false,FLAT20,,MUMBAI,No onion
ORD000123,CUST00339,Pizza Palace,Sushi,08/04/2023,889,19.0,2257,64,delivered,COD,4.2,Yes,SAVE10,DP2110,DELHI,No onion
ORD000302,CUST00057,Sushi Spot,Italain,1696723200,2196,5.4,2403,379,DELIVERED,,,TRUE,save10,,Bangalore,
ORD001317,CUST00238,PIZZA PALACE,burger,,2841,25.8,2772,69,Cncld,wallet,,No,save10,N/A,Bangalore,
ORD001296,CUST00566,Dosa Delight.,indian,1652313600,1511,14.3,707,445,Pending,Net Banking,4.9,True,save10,,Pune,No onion
ORD001393,CUST00570,Wok Express,Indian,01/06/2023,643,46.8,1360,43,cancelled,wallet,3.3,N,save10,DP9576,Mumbai,No onion
ORD001203,CUST00170,The Biryani House,Chineese,,1416,19.9,2140,62,delivered,,3.4,false,save10,,Hydrabad,Extra spicy
ORD001155,CUST00449,Dosa Delight.,PIZZA,1644537600,2560,18.9,2374,36,Pending,UPI ,2.3,TRUE,FIRST50,,Delhi ,Extra spicy
ORD000450,CUST00007,Spice  Garden,Thai ,,2397,-1.356176574394489,1348,38,N/A,,-0.1318734266373499,N,FLAT20 ,N/A,kolkata ,extra SPICY
ORD000507,CUST00194,Curry Corner@,Italian,N/A,2156,39.3,2628,225,Cancelled,N/A,2.5,No,FIRST50,DP9094,Mumbai,no Onion
ORD001377,CUST00296,Dosa Delight.,Chineese,2022-09-02,273,36.8,967,23,,Wallet,,False,FLAT20,DP7507,mumbai,N/A
ORD000622,CUST00265,Wok-Express,Pizza,2023-04-24,2217,2.7,550,87,,,,FALSE,FLAT20 ,N/A,Delhi,
ORD000345,CUST00402,Wok Express,Italain,23/07/2022,--,30.2,2643,34,,Cash,4.2,Y,FLAT20,,Ahmedabad,
ORD000336,CUST00233,Pizza Palace,mexcian,,,16.2,1488,24,Delivered,N/A,1.0,FALSE,N/A,DP8551,mumbai,
ORD000698,CUST00319,The Biryani House,Indian,2022/01/31,₹773,7.7,489,55,Pending,Card,2.8,yes,FIRST50,DP4671,Bangalore,Less oil
ORD001176,CUST00336,Dosa Delight.,burger,1648598400,833,27.5,763,41,delivered,Wallet,1.1,N,save10,,MUMBAI,extra SPICY
ORD001174,CUST00159,Spice Garden,PIZZA,29 Jun 2022,₹1720,32.9,1438,46,Pending,N/A,2.1,No,N/A,N/A,Hyderabad,
ORD000667,CUST00490,Spice Garden,Sushi ,,,144.0343020950553,2626,,DELIVERED,N/A,4.3,False,FIRST50,DP6302,chenai,  
ORD001259,CUST00376,Spice  Garden,continental,N/A,1417,39.5,₹1923,36,Cancelled,,1.6,No,FLAT20 ,N/A,Hydrabad,Less oil
ORD000304,CUST00245,Sushi_Spot,Continental,1666915200,1489,41.6,2087,N/A,CANCELLED,Card,,true,FIRST50,DP6013,Hyderabad,  
ORD001342,CUST00218,Noodle  Nook,Thai,1650326400,1813,19.7,2676,33,CANCELLED,wallet,2.2,False,save10,,Hyderabad,Less oil
ORD001490,CUST00582,PIZZA PALACE,Indian,"August 23, 2022",,31.5,1863,23,Cancelled,,2.5,No,SAVE 10,N/A,Mumbai,  
ORD000517,CUST00222,Burger Barn!!,CHINESE,1699315200,--,39.1,556,27,Delivered,COD,4.8,N,,DP4906,MUMBAI,Less oil
ORD000413,CUST00425,Noodle  Nook,Italain,2023-12-27,1413,26.1,2477,19,Cancelled,N/A,4.5,1,,N/A,Kolkata,No onion
ORD000543,CUST00110,Curry Corner,Italian,2022/12/25,76716,31.4,498,68,Cancelled,CARD,1.8,No,FLAT20 ,,Bangalore,N/A
ORD000592,CUST00471,Spice Garden,Thai,"January 29, 2023",1949,9.9,1537,67,delivered,net banking,,No,,,  Pune ,  
ORD001364,CUST00220,Dosa Delight,Burger,12-26-2022,134,41.1,2693,60,Pending,Cash,4.2,true,,DP4177,Pune,N/A
ORD000653,CUST00483,Wok-Express,Italain,1680307200,247,27.0,1742,89,Dlvrd,UPI,2.8,Y,SAVE 10,DP8367,Bangalroe,  
ORD001455,CUST00455,Wok-Express,Chineese,02/01/2022,2307,28.7,1197,25,DELIVERED,card,1.1,TRUE,SAVE10,,Mumbai,  
ORD001416,CUST00022,Curry Corner@,Itlaian,04 Nov 2022,1688,N/A,2681,58,pending,Net Banking,3.0,no,FLAT20 ,,mumbai,Extra spicy
ORD000455,CUST00081,Spice Garden,Thai,"October 11, 2023",389,16.7,274,27,pending,card,4.2,False,FLAT20 ,,Chennai,extra SPICY
ORD000395,CUST00458,Spice Garden,Thai,10-30-2022,1529,15.5,₹1491,38,Pending,,-0.8577223859691612,FALSE,FIRST50,N/A,  Pune ,
ORD001153,CUST00285,Noodle Nook,PIZZA,2023/05/06,1384,37.3,2214,-23,,upi,4.2,No,FIRST50,N/A,Bangalore,Extra spicy
ORD000258,CUST00026,Curry Corner,Chineese,1663545600,368,12.3,2111,73,delivered,UPI ,,N,SAVE10,,Mumbai,No onion
ORD000954,CUST00538,Sushi_Spot,Continental,not provided,876,36.6,2996,34,delivered,Card,3.0,Y,,,mumbai,
ORD000808,CUST00284,Curry Corner@,continental,2023/04/18,2887,15.2,1810,87,Pending,Net Banking,,no,save10,,Pune,N/A
ORD000777,CUST00275,Spice  Garden,Burger,"July 05, 2023",344,3.7,2006,44,Delivered,upi,2.3,True,SAVE 10,,Ahemadabad,no Onion
ORD000915,CUST00135,Noodle Nook,Italain,2022-02-09,2079,-2.2050849202599565,1269,23,N/A,card,9.26969347609733,yes,SAVE10,,Mumbai,
ORD000332,CUST00029,Wok-Express,PIZZA,12-15-2022,1015,104.10657171361903,1967,80,delivered,Net Banking,,No,SAVE10,N/A,Chennai,no Onion
ORD001387,CUST00172,Spice Garden,Thai,12-06-2022,1277,8.6,224,51,Cancelled,CARD,2.5,0,FLAT20 ,DP2065,MUMBAI,Extra spicy
ORD000296,CUST00480,Tandoor Tales,Italain,12/09/2023,1653,2.0,2259,45,Dlvrd,Wallet,2.1,FALSE,,N/A,bangalore,N/A
ORD000494,CUST00459,PIZZA PALACE,Sushi,1675036800,934,20.3,410,77,cancelled,Card,1.2,1,FIRST50,,mumbai,Extra spicy
ORD000135,CUST00505,Wok Express,Sushi ,1681603200,₹764,30.0,1790,65,CANCELLED,,3.4,TRUE,FLAT20,,Ahemadabad,N/A
ORD001482,CUST00532,Burger Barn!!,CHINESE,"December 16, 2022",2758,1.6,772,20,DELIVERED,Net Banking,,true,FLAT20 ,DP1472,  Pune ,N/A
ORD000603,CUST00163,Curry Corner@,Indian,14 Nov 2023,419,4.2,1581,25,cancelled,Card,1.1,Y,N/A,N/A,Delhi,Extra spicy
ORD001322,INVALID,Dosa Delight,Itlaian,2023/07/31,1113,35.2,2588,52,DELIVERED,cash,-0.18838235431619887,no,,,Delhi,extra SPICY
ORD000443,CUST00009,Sushi Spot,Italain,,1140,48.2,N/A,16,Pending,CARD,,no,,N/A,Chennai,  
ORD001067,,the biryani house,Mexican,2022-10-04,2677,152.6327166666793,₹314,59,delivered,,4.8,TRUE,N/A,,Kolkata,No onion
ORD000735,CUST00168,Dosa Delight,Continental,15 Sep 2022,1705,35.4,767,40,DELIVERED,Cash,1.0,no,,,Hydrabad,extra SPICY
ORD001390,CUST00360,Wok Express,continental,"September 05, 2023",1750,1.4,216,30,CANCELLED,card,4.2,Yes,FIRST50,,Delhi,
ORD001126,CUST00523,Sushi_Spot,indian,10-13-2022,2849,49.8,224,82,Pending,wallet,3.7,No,SAVE 10,,Delhi ,
ORD000368,CUST00110,Wok Express,Itlaian,"December 07, 2023",2077,15.0,734,56,Dlvrd,Wallet,,Y,FLAT20 ,,Delhi,N/A
ORD000642,CUST00045,Dosa Delight,Chineese,06 Aug 2022,1896,23.0,711,62,,,4.3,yes,FIRST50,,Ahmedabad,extra SPICY
ORD001087,CUST00508,Wok-Express,Thai ,N/A,2005,23.6,2981,34,DELIVERED,COD,,true,SAVE10,N/A,Delhi ,
ORD000064,CUST00069,Burger Barn,PIZZA,2023/06/11,1958,20.6,205,75,Cancelled,N/A,4.9,false,,,Mumbai,Less oil
ORD000259,CUST00209,The Biryani House,Thai ,not provided,1145,21.7,1638,26,,cash,4.2,0,FLAT20,DP5960,chenai,
ORD001308,CUST00529,Pizza Palace,CHINESE,2022-02-20,2744,12.6,1902,50,pending,UPI ,1.9,yes,FIRST50,,Hydrabad,no Onion
ORD001180,CUST00170,Curry Corner@,Italian,N/A,₹903,10.2,754,76,Cncld,Card,2.6,N,,,Ahmedabad,
ORD001114,CUST00520,Sushi_Spot,burger,not provided,310,32.4,825,83,Pending,CARD,4.8,1,,DP9189,Kolkata,N/A
ORD001334,CUST00049,The Biryani House,Thai,2022/07/29,,21.3,1064,57,N/A,Net Banking,,FALSE,FLAT20,N/A,Bangalroe,No onion
ORD000110,CUST00126,Spice Garden,indian,1700524800,2825,24.3,891,83,,UPI,1.7,no,FLAT20 ,,Mumbai,
ORD000056,CUST00476,Curry Corner@,mexcian,1679097600,1311,17.1,1450,59,Dlvrd,wallet,2.7,FALSE,save10,,Bangalore,no Onion
ORD001352,CUST00486,Wok Express,Chinese,N/A,2031,6.2,1489,55,,card,2.7,No,FLAT20 ,N/A,Bangalroe,No onion
ORD000847,CUST00375,Wok Express,Continental,not provided,2777,-9.399737626414199,₹262,26,Cncld,net banking,4.2,yes,SAVE 10,,DELHI,no Onion
ORD000430,CUST00582,Sushi_Spot,Chineese,30/12/2023,1422,32.4,1706,479,Dlvrd,cash,1.2,true,save10,,Pune,  
ORD001432,CUST00530,Tandoor Tales,Continental,2023/08/29,928,17.7,2183,273,Cancelled,N/A,2.0,true,SAVE10,,  Pune ,N/A
ORD001392,CUST00067,Dosa Delight,Chineese,N/A,--,N/A,809,42,Pending,wallet,1.8,0,SAVE 10,N/A,MUMBAI,
ORD000423,CUST00532,Spice  Garden,Italian,not provided,1244,11.3,1830,20,,card,2.4,Y,FLAT20 ,N/A,Chennai,No onion
ORD000978,CUST00047,Burger Barn!!,mexcian,1647043200,1053,46.9,2129,23,Cancelled,upi,3.2,False,save10,N/A,Ahemadabad,
ORD000542,CUST00046,Tandoor Tales,Sushi ,,₹1885,46.2,793,266,DELIVERED,cash,1.6,yes,FIRST50,DP1033,kolkata ,extra SPICY
ORD000167,CUST00266,Spice  Garden,Pizza,not provided,1213,N/A,593,43,DELIVERED,UPI ,2.3,yes,FIRST50,DP5420,Bangalroe,extra SPICY
ORD000760,CUST00501,Dosa Delight,mexcian,,1573,23.6,2382,58,pending,,1.4,1,FIRST50,N/A,Chennai,
ORD001219,CUST00540,The Biryani House,Sushi ,not provided,1169,32.3,2706,17,Pending,cash,3.1,Yes,FIRST50,N/A,DELHI,N/A
ORD001031,CUST00082,Curry Corner,Chineese,not provided,296,13.4,2432,377,DELIVERED,Card,2.1,1,SAVE10,,DELHI,
ORD001379,CUST00191,Burger Barn,biryani,not provided,1948,29.1,1728,81,CANCELLED,UPI ,3.2,True,SAVE10,N/A,bangalore,N/A
ORD001436,CUST00253,Pizza Palace,indian,21 Jul 2022,1544,27.9,1163,53,delivered,UPI ,,FALSE,SAVE 10,,mumbai,Less oil
ORD000990,CUST00537,Dosa Delight,Thai ,1655251200,2297,44.6,2873,37,pending,cash,3.3,TRUE,,,Delhi,
ORD001064,CUST00050,Dosa Delight,continental,24 Apr 2023,692,28.8,N/A,17,Delivered,wallet,,Yes,SAVE10,,bangalore,
ORD001451,CUST00318,Noodle  Nook,Thai,,2885,49.1,2614,70,,wallet,4.2,0,FLAT20,N/A,Hydrabad,No onion
ORD000223,CUST00598,PIZZA PALACE,Thai ,not provided,93,-12.335170974233915,2645,90,CANCELLED,UPI ,4.1,Y,,DP9772,Ahmedabad,No onion
ORD001132,CUST00402,Burger Barn,Sushi,2023-05-18,855,0.3,2170,31,delivered,Card,1.9,Yes,,DP4111,chenai,No onion
ORD000186,CUST00484, Tandoor Tales,Chineese,not provided,2123,19.8,2546,29,,upi,1.9,false,FLAT20,,DELHI,
ORD000256,CUST00346,Noodle Nook,Sushi,not provided,1744,29.5,1585,80,CANCELLED,Cash,2.6,FALSE,FLAT20,N/A,kolkata ,N/A
ORD001154,CUST00109, Tandoor Tales,Indian,07 May 2022,1560,31.4,1401,69,cancelled,,3.4,True,,DP7964,kolkata ,
ORD000577,CUST00352,Tandoor Tales,burger,03/02/2022,890,23.8,163,51,delivered,cash,4.0,1,,,Chennai,No onion
ORD001101,CUST00148,Noodle  Nook,Italian,not provided,₹363,16.9,607,83,CANCELLED,CARD,1.4,false,N/A,,Hyderabad,No onion
ORD000391,CUST00571,Curry Corner@,Chineese,06-30-2023,1183,33.6,2743,-3,Cncld,net banking,2.9,No,FLAT20,,Hyderabad,Extra spicy
ORD001470,CUST00275,Curry Corner,Italian,08 Feb 2022,1669,35.7,966,16,Cncld,,1.6,1,FIRST50,N/A,  Pune ,no Onion
ORD000722,CUST00249,The Biryani House,biryani,2023-03-23,1560,45.9,308,37,delivered,wallet,2.5,yes,SAVE10,,DELHI,extra SPICY
ORD000318,CUST00168,Curry Corner,Thai,,129,7.8,465,-15,pending,COD,1.2,0,SAVE10,DP7862,Hydrabad,  
ORD000491,CUST00176,Dosa Delight,burger,2022-09-19,78812,42.8,2071,36,N/A,N/A,2.5,yes,N/A,DP3618,Kolkata,
ORD000405,CUST00256,Wok Express,Italian,10 Jan 2023,1128,33.4,2655,90,delivered,N/A,,1,SAVE 10,,Bangalore,extra SPICY
ORD000353,CUST00249,the biryani house,Biryani,09-06-2022,1893,32.9,1791,85,Cncld,wallet,5.0,TRUE,FIRST50,N/A,mumbai,
ORD001076,CUST00340,Dosa Delight.,Chineese,1692662400,763,42.3,659,36,Pending,Card,4.9,yes,FLAT20,DP5046,Pune,  
ORD001319,CUST00323,Sushi_Spot,Chinese,1702684800,1558,33.5,2388,38,Cancelled,card,,1,save10,DP9675,Ahmedabad,Extra spicy
